"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"LOGO02";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo";;;
2;"LOGO03";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo";;;
3;"G***";"logo_small";1;"LOGO";;;
4;"MNT4";"MountingHole_2.5mm_Pad";1;"MNTHole_2.5mm_Pad";;;
5;"MNT3,MNT2,MNT1";"MountingHole_2.5mm_Pad";3;"MNT_2.5mm_Pad";;;
6;"HEATSINK";"Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm";1;"Heatsink_132_32x14mm_2xFixation1.5mm";;;
7;"SW1";"SW_E-Switch_EG1224_SPDT_Angled";1;"SW_PWM";;;
8;"U1";"TO-220-3_Vertical";1;"L7805-1.5a";;;
9;"Q3B1,Q2G1,Q1R1";"TO-220-3_Vertical";3;"IRF540N";;;
10;"J2";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"Conn_01x04_Male";;;
11;"J1";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack 1G2+";;;
12;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"CP47mf16V";;;
13;"C3,C2";"C_Disc_D7.0mm_W2.5mm_P5.00mm";2;"cer0.1mf50V";;;
14;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"CP470mf16V";;;
15;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"R_LED_200";;;
16;"D2";"LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm";1;"LED_COMM";;;
17;"D1";"LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm";1;"LED_PWM";;;
18;"U2";"Vishay_CAST-3Pin";1;"TSOP1738";;;
19;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
